FID;CODIGO;CAPACIDAD_NOMINAL;FASES;COOR_GPS_LON;COOR_GPS_LAT;MUNICIPIO;UBICACION;CIRCUITO;PROPIETARIO_1;EQUIPO_PADRE;FID_EQUIPO_PADRE
30720646;ARRQ0497;25;RT;-75,73303798;4,533653977;ARMENIA;VR PANTANILLO FC PORVENIR;114-24-;EDEQ;S-234;30720542
30720647;ARRQ0501;25;TN;-75,73713421;4,535612589;ARMENIA;VR PANTANILLO RETEN POLINAL;114-24-;EDEQ;S-234;30720542
30720648;ARRP0485;45;RST;-75,72183644;4,528923721;ARMENIA;FC GUAYACANES VDA PANTANILLO;114-24-;PARTICULAR;S-275;30720541
30720650;ARRP0567;112,5;RST;-75,72108596;4,528475703;ARMENIA;VR PANTANILLO HOTEL ANKARA;114-24-;PARTICULAR;C-0599;30720522
30720651;ARUQ2286;75;ST;-75,70809819;4,529982612;ARMENIA;BA LA ESMERALDA MZ 9 20;114-24-;EDEQ;C-0647;39350932
30720652;ARUQ1609;75;RT;-75,70734007;4,531679889;ARMENIA;BRR LA ADIELA MZ 21 CS 19;114-24-;EDEQ;S-2501;37157167
30720653;ARUQ2051;75;RS;-75,71372308;4,526173639;ARMENIA;CIUDADELA LA CECILIA ET 2 MZ 14 CS 12;114-24-;EDEQ;S-272;30720530
30720654;ARUQ1962;150;RST;-75,71542455;4,525345122;ARMENIA;CIUDADELA LA CECILIA ET 1 MZ 29 CS 1;114-24-;EDEQ;S-272;30720530
30720655;ARUN2499;45;RST;-75,70992301;4,530152424;ARMENIA;URB TERRAZA JARDIN MNZ B CASA 22;114-24-;EDEQ;C-0647;39350932
30720657;ARUQ1613;150;RST;-75,70414476;4,532141199;ARMENIA;BR LA ADIELA MZ 3;114-24-;EDEQ;S-1084;30720540
30720658;ARUQ1872;112,5;RST;-75,7100292;4,533073629;ARMENIA;BA LAS COLINAS  MZ 2 SEC 12 CS 61;114-24-;EDEQ;C-0451;31295607
30720659;ARUQ1973;112,5;RST;-75,71656057;4,529165104;ARMENIA;BA LA CECILIAMZ 52 1 EQ;114-24-;EDEQ;S-058;30720533
30720660;ARUQ1785;112,5;RST;-75,71299667;4,523952805;ARMENIA;BA GIBRALTAR B1;114-24-;EDEQ;S-2262;30720543
30720661;ARRP0487;30;RST;-75,72197793;4,52744856;ARMENIA;FC LA CAMELIA VDA PANTANILLO;114-24-;PARTICULAR;S-275;30720541
30720662;ARRP0513;45;RST;-75,72961808;4,537641732;ARMENIA;FC LA BRASILIA VDA PANTANILLO;114-24-;PARTICULAR;S-277;30720529
30720663;ARUQ1942;112,5;RST;-75,71405731;4,52376767;ARMENIA;BA GIBRALTAR B6;114-24-;EDEQ;S-2262;30720543
