FID;CODIGO;FASES;COOR_GPS_LON;COOR_GPS_LAT;CAPACIDAD_NOMINAL;MUNICIPIO;CIRCUITO;UBICACION;PROPIETARIO_1;TIPO
31299529;S-2249;RST;-75,7710434;4,468597737;100;LA TEBAIDA;101-23-;LVT;EDEQ;S
31133840;S-2209;RSTN;-75,7822077;4,452349544;100;LA TEBAIDA;101-22-;CRA 10 CLL 4 HOSPITAL PIO X;EDEQ;S
31133923;S-413;RST;-75,78881184;4,446398738;100;LA TEBAIDA;101-22-;CIUDAD JARDIN CALLE 15 ;EDEQ;S
31133918;S-448;RST;-75,84360943;4,441673146;100;LA TEBAIDA;101-25-;VR LA HERRADURA FC EL PARAISO;EDEQ;S
31133881;S-1879;RST;-75,81348634;4,444715739;100;LA TEBAIDA;101-25-;VR EL CINCO HD PRIMAVERA;EDEQ;S
31133883;S-1573;RT;-75,8183958;4,448318866;200;LA TEBAIDA;101-25-;URB LA SILVIA MZ 1;EDEQ;S
31299952;S-2495;RST;-75,7729323;4,468644509;100;LA TEBAIDA;101-23-;VR PADILLA CLUB SOCIAL FIFA;EDEQ;S
31133867;S-452;RST;-75,82561835;4,446205692;200;LA TEBAIDA;101-25-;FUNDACION AMANECER;EDEQ;S
31133880;S-1494;RST;-75,80428645;4,450556547;100;LA TEBAIDA;101-25-;VR HERRADURA FC HAWAI;EDEQ;S
31133893;S-1881;RS;-75,81055581;4,43803124;200;LA TEBAIDA;101-25-;VR EL CINCO FC EL GUAYABO;EDEQ;S
31133900;SR-0015;RST;-75,83526904;4,441103968;100;LA TEBAIDA;101-25-;EL VERGEL;EDEQ;S
31133860;S-603;RST;-75,85920457;4,434227607;100;LA TEBAIDA;101-25-;VR LA HERRADURA FC EL RANCHO;EDEQ;S
31133851;S-661;RS;-75,87486303;4,414214537;100;LA TEBAIDA;101-25-;VR LA HERRADURA HD MOLDAVIA;EDEQ;S
31006813;S-1556;RST;-75,78849546;4,208621185;200;GÉNOVA;206-24-;CR 12 19 06;EDEQ;S
31299450;S-2497;RS;-75,76697185;4,469568653;100;ARMENIA;101-23-;CLUB CAMPESTRE;EDEQ;S
31299531;S-2496;RST;-75,76757793;4,469151153;100;ARMENIA;101-23-;VR PADILLA FC LA MARGARITA;EDEQ;S
39459660;S-1262;RST;-75,76904531;4,452931895;200;ARMENIA;101-22-;CANCHAS EL EDEN;EDEQ;S
30908710;S-1960;RN;-75,66149526;4,674229039;100;FILANDIA;307-24-;BA TURBAY CL 2 CR 6 Y 7;EDEQ;S
30986928;S-718;R;-75,822258;4,47024624;100;MONTENEGRO;101-26-;VRDA SAN JOSE FCA POTOSI;EDEQ;S
31315696;S-2500;RST;-75,63250555;4,561314051;100;CALARCÁ;208-26-;VR CHAGUALA FC LA DUQUESA;EDEQ;S
31314915;S-1118;RST;-75,73727378;4,460502094;100;ARMENIA;205-22-;VR GOLCONDA FC LA SUIZA;EDEQ;S
31320341;S-2322;RS;-75,79529849;4,499574964;100;MONTENEGRO;101-26-;VDA PLATANILLAL FCA ALDEA SUIZA;PARTICULAR;S
31318619;S-2323;RST;-75,6097611;4,526076445;100;CALARCÁ;208-27-;KM 8 + 350 VIA CLARCA IBAGUE;PARTICULAR;S
31319875;S-686;RST;-75,78480882;4,555774071;100;MONTENEGRO;303-23-;VR CASTILLO FC PALOBALIO;EDEQ;S
31319306;S-716;RST;-75,8136131;4,472633053;100;MONTENEGRO;101-26-;VRD SANJOSE LA FONDA;EDEQ;S
31319911;S-2321;RST;-75,79015274;4,457937375;100;LA TEBAIDA;101-32;KM 12 VIA CALI FTE BERTHLAN;PARTICULAR;S
31319218;S-2314;RST;-75,6595165;4,528530882;100;CALARCÁ;208-22-;VDA LA FLORESTA FCA EL TOPACIO;EDEQ;S
31325564;S-2499;RST;-75,642629;4,544711445;100;CALARCÁ;208-22-;VR BUENOS AIRES FC BRISAS DE LOS NEVADOS;EDEQ;S
31322705;S-2021;RST;-75,73159816;4,405529585;100;CALARCÁ;206-22-;VR RIO VERDE FC RIVERA;EDEQ;S
31331342;S-2498;RST;-75,64913265;4,542746069;100;CALARCÁ;208-22-;VDA ALTO DEL RIO FCA MARTHA CECILIA;EDEQ;S
31334188;S-2324;RST;-75,65117618;4,567155393;100;ARMENIA;112-24-;CRA 19 CLL 40N;EDEQ;S
30679623;S-2045;RST;-75,57681707;4,454268454;200;CALARCÁ;208-27-;EL CAMPANARIO;EDEQ;S
31358783;S-2347;RST;-75,7477082;4,344323207;100;BUENAVISTA;206-24-;VDA LOS JUANES HOTEL LA CIMA;EDEQ;S
30766345;S-1422;RT;-75,78888796;4,406170624;100;LA TEBAIDA;205-25-;VR MARAVELEZ FC LA RIVERA;EDEQ;S
30766347;S-2049;RT;-75,79744616;4,407150234;200;LA TEBAIDA;205-25-;VR MARAVELEZ FC MARAVELEZ;EDEQ;S
39459849;S-1270;RST;-75,76856046;4,452151119;100;ARMENIA;101-22-;PARQUEADERO AREOPUERTO EL EDEN;EDEQ;S
31362312;S-2346;RST;-75,6676243;4,593851738;100;CIRCASIA;303-27-;VR LLANADAS ;EDEQ;S
31371364;S-2504;RST;-75,70023643;4,456950652;100;CALARCÁ;205-24-;VDA ALBANIA FCA LA ESPERANZA;EDEQ;S
31372861;S-2503;RST;-75,65855689;4,504251199;100;CALARCÁ;208-25-;VDA LA BELLA;EDEQ;S
39858578;S-2355;RN;-75,79236993;4,41952563;100;LA TEBAIDA;205-25-;VDA LA ARGENTINA FCA VILLA MARTHA;EDEQ;S
31377939;S-2325;RST;-75,78941562;4,421539555;100;LA TEBAIDA;205-25-;VDA ARGENTINA FCA STA MARIA ;PARTICULAR;S
30894780;S-108C;RST;-75,66204126;4,546683273;200;ARMENIA;109-26-;CR 14 2N 42;EDEQ;S
31405134;S-2506;RST;-75,6893616;4,518935803;100;ARMENIA;110-24-;CRA 18 50-85 ARMENIA;EDEQ;S
